isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
Gran Canaria,2,549,28.032187,-15.458841,2021-01-15 15:44:19,2026-01-02 15:37:00,0.04189435336976321,0.9489981785063752,0.009107468123861567,0.9489981785063752,0.04189435336976321,521,23,4,1,0.907103825136612,643.1181713524362
Gran Canaria,20,458,28.140358,-15.413273,2021-03-01 22:07:50,2026-03-01 08:47:05,0.013100436681222707,0.008733624454148471,0.9781659388646288,0.008733624454148471,0.013100436681222707,4,6,1,1,-0.004366812227074236,589.4919387477865
Gran Canaria,10,442,27.998683,-15.414674,2021-01-18 11:42:58,2026-03-10 12:00:14,0.9479638009049773,0.02262443438914027,0.029411764705882353,0.02262443438914027,0.9479638009049773,10,419,1,4,-0.925339366515837,600.9250282851999
Gran Canaria,17,437,28.059683,-15.547456,2021-02-28 15:06:05,2026-01-06 00:01:00,0.32723112128146453,0.6247139588100686,0.04805491990846682,0.6247139588100686,0.32723112128146453,273,143,3,2,0.2974828375286041,140.72213456887684
Gran Canaria,27,420,28.1189655,-15.524175,2021-03-11 16:21:41,2025-11-28 13:33:23,0.11190476190476191,0.8166666666666667,0.07142857142857142,0.8166666666666667,0.11190476190476191,343,47,4,1,0.7047619047619047,502.331557405958
Gran Canaria,6,375,28.101928,-15.710931,2021-01-17 09:13:11,2026-01-07 14:00:09,0.224,0.5546666666666666,0.22133333333333333,0.5546666666666666,0.224,208,84,3,1,0.33066666666666666,576.2212073332264
Gran Canaria,33,342,28.0633245,-15.463056,2021-04-11 09:48:02,2025-03-17 10:28:33,0.49707602339181284,0.4678362573099415,0.03508771929824561,0.4678362573099415,0.49707602339181284,160,170,2,2,-0.029239766081871343,364.88650130417625
Gran Canaria,3,330,27.969527,-15.6120445,2021-01-16 13:54:15,2025-12-26 12:55:50,0.2636363636363636,0.6575757575757576,0.07878787878787878,0.6575757575757576,0.2636363636363636,217,87,3,2,0.393939393939394,978.3790867968952
Gran Canaria,30,275,28.107218,-15.563035,2021-04-02 20:27:41,2026-02-12 16:28:23,0.21818181818181817,0.7418181818181818,0.04,0.7418181818181818,0.21818181818181817,204,60,3,1,0.5236363636363637,682.2569823393288
Gran Canaria,22,220,28.153351,-15.411211,2021-03-03 20:31:06,2025-12-02 18:42:46,0.00909090909090909,0.022727272727272728,0.9681818181818181,0.022727272727272728,0.00909090909090909,5,2,1,1,0.013636363636363637,462.14703929219553
Gran Canaria,13,195,28.144591,-15.655034,2021-01-27 18:27:55,2025-12-21 20:13:47,0.5538461538461539,0.4,0.046153846153846156,0.4,0.5538461538461539,78,108,2,3,-0.15384615384615385,204.69128435324245
